"Secuencia","Nombre","Referencia interna","Tipo de producto","Puede ser comprado","Puede ser vendido","Cuenta de ingresos","Cuenta de ingresos/ID","Cuenta de ingresos/Nombre de la cuenta","Cuenta de gasto","Cuenta de gasto/ID","Cuenta de gasto/Nombre de la cuenta","Impuestos del cliente","Impuestos del cliente/ID","Impuestos del cliente/Nombre del impuesto","Impuestos de proveedor","Impuestos de proveedor/ID","Impuestos de proveedor/Nombre del impuesto"
"1","Arrendamientos y cánones","621.0","Servicio","True","","","","","622000 Reparaciones y conservación","l10n_es.1_account_common_622","Reparaciones y conservación","","","","21% IVA soportado (servicios corrientes)","l10n_es.1_account_tax_template_p_iva21_sc","21% IVA soportado (servicios corrientes)"
"1","Reparaciones y conservación","622.0","Servicio","True","","","","","622000 Reparaciones y conservación","l10n_es.1_account_common_622","Reparaciones y conservación","","","","21% IVA soportado (servicios corrientes)","l10n_es.1_account_tax_template_p_iva21_sc","21% IVA soportado (servicios corrientes)"
"1","Servicios de profesionales independientes","623.0","Servicio","True","","","","","623000 Servicios de profesionales independientes","l10n_es.1_account_common_623","Servicios de profesionales independientes","","","","21% IVA soportado (servicios corrientes)","l10n_es.1_account_tax_template_p_iva21_sc","21% IVA soportado (servicios corrientes)"
"1","Transportes","624.0","Servicio","True","","","","","624000 Transportes","l10n_es.1_account_common_624","Transportes","","","","21% IVA soportado (servicios corrientes)","l10n_es.1_account_tax_template_p_iva21_sc","21% IVA soportado (servicios corrientes)"
"1","Primas de seguros","625.0","Servicio","True","","","","","625000 Primas de seguros","l10n_es.1_account_common_625","Primas de seguros","","","","IVA Soportado exento (operaciones corrientes)","l10n_es.1_account_tax_template_p_iva0_bc","IVA Soportado exento (operaciones corrientes)"
"1","Servicios bancarios y similares","626.0","Servicio","True","","","","","626000 Servicios bancarios y similares","l10n_es.1_account_common_626","Servicios bancarios y similares","","","","21% IVA soportado (servicios corrientes)","l10n_es.1_account_tax_template_p_iva21_sc","21% IVA soportado (servicios corrientes)"
"1","Publicidad propaganda y relaciones públicas","627.0","Servicio","True","","","","","","","","","","","21% IVA soportado (servicios corrientes)","l10n_es.1_account_tax_template_p_iva21_sc","21% IVA soportado (servicios corrientes)"
"1","Suministros","628.0","Servicio","True","","","","","","","","","","","21% IVA soportado (servicios corrientes)","l10n_es.1_account_tax_template_p_iva21_sc","21% IVA soportado (servicios corrientes)"
"1","Otros servicios","629.0","Servicio","True","","","","","","","","","","","21% IVA soportado (servicios corrientes)","l10n_es.1_account_tax_template_p_iva21_sc","21% IVA soportado (servicios corrientes)"
"1","Ventas de mercaderias","700.0","Servicio","","True","","","","","","","IVA 21% (Bienes)","l10n_es.1_account_tax_template_s_iva21b","IVA 21% (Bienes)","","",""
"1","Ventas de productos terminados","701.0","Servicio","","True","","","","","","","IVA 21% (Bienes)","l10n_es.1_account_tax_template_s_iva21b","IVA 21% (Bienes)","","",""
"1","Prestaciones de servicios","705.0","Servicio","","True","","","","","","","IVA 21% (Servicios)","l10n_es.1_account_tax_template_s_iva21s","IVA 21% (Servicios)","","",""
